"ensembl_gene_id"	"description"	"chromosome_name"	"hgnc_symbol"	"Sourcelist"
"ENSG00000151366"	"ENSG00000151366"	"NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]"	"11"	"NDUFC2"	"nuOXPHOS"
"ENSG00000151413"	"ENSG00000151413"	"nucleotide binding protein like [Source:HGNC Symbol;Acc:HGNC:20278]"	"14"	"NUBPL"	"nuOXPHOS"
"ENSG00000152234"	"ENSG00000152234"	"ATP synthase F1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:823]"	"18"	"ATP5F1A"	"nuOXPHOS"
"ENSG00000154079"	"ENSG00000154079"	"succinate dehydrogenase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:20957]"	"6"	"SDHAF4"	"nuOXPHOS"
"ENSG00000154518"	"ENSG00000154518"	"ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843]"	"2"	"ATP5MC3"	"nuOXPHOS"
"ENSG00000154723"	"ENSG00000154723"	"ATP synthase peripheral stalk subunit F6 [Source:HGNC Symbol;Acc:HGNC:847]"	"21"	"ATP5PF"	"nuOXPHOS"
"ENSG00000156170"	"ENSG00000156170"	"NADH:ubiquinone oxidoreductase complex assembly factor 6 [Source:HGNC Symbol;Acc:HGNC:28625]"	"8"	"NDUFAF6"	"nuOXPHOS"
"ENSG00000156411"	"ENSG00000156411"	"ATP synthase membrane subunit 6.8PL [Source:HGNC Symbol;Acc:HGNC:1188]"	"14"	"ATP5MPL"	"nuOXPHOS"
"ENSG00000156467"	"ENSG00000156467"	"ubiquinol-cytochrome c reductase binding protein [Source:HGNC Symbol;Acc:HGNC:12582]"	"8"	"UQCRB"	"nuOXPHOS"
"ENSG00000156885"	"ENSG00000156885"	"cytochrome c oxidase subunit 6A2 [Source:HGNC Symbol;Acc:HGNC:2279]"	"16"	"COX6A2"	"nuOXPHOS"
"ENSG00000158864"	"ENSG00000158864"	"NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]"	"1"	"NDUFS2"	"nuOXPHOS"
"ENSG00000159199"	"ENSG00000159199"	"ATP synthase membrane subunit c locus 1 [Source:HGNC Symbol;Acc:HGNC:841]"	"17"	"ATP5MC1"	"nuOXPHOS"
"ENSG00000160194"	"ENSG00000160194"	"NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]"	"21"	"NDUFV3"	"nuOXPHOS"
"ENSG00000160471"	"ENSG00000160471"	"cytochrome c oxidase subunit 6B2 [Source:HGNC Symbol;Acc:HGNC:24380]"	"19"	"COX6B2"	"nuOXPHOS"
"ENSG00000161281"	"ENSG00000161281"	"cytochrome c oxidase subunit 7A1 [Source:HGNC Symbol;Acc:HGNC:2287]"	"19"	"COX7A1"	"nuOXPHOS"
"ENSG00000162377"	"ENSG00000162377"	"cytochrome c oxidase assembly factor 7 (putative) [Source:HGNC Symbol;Acc:HGNC:25716]"	"1"	"COA7"	"nuOXPHOS"
"ENSG00000163626"	"ENSG00000163626"	"cytochrome c oxidase assembly factor COX18 [Source:HGNC Symbol;Acc:HGNC:26801]"	"4"	"COX18"	"nuOXPHOS"
"ENSG00000164182"	"ENSG00000164182"	"NADH:ubiquinone oxidoreductase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:28086]"	"5"	"NDUFAF2"	"nuOXPHOS"
"ENSG00000164258"	"ENSG00000164258"	"NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]"	"5"	"NDUFS4"	"nuOXPHOS"
"ENSG00000164405"	"ENSG00000164405"	"ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]"	"5"	"UQCRQ"	"nuOXPHOS"
"ENSG00000164919"	"ENSG00000164919"	"cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285]"	"8"	"COX6C"	"nuOXPHOS"
"ENSG00000165264"	"ENSG00000165264"	"NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701]"	"9"	"NDUFB6"	"nuOXPHOS"
"ENSG00000165629"	"ENSG00000165629"	"ATP synthase F1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:833]"	"10"	"ATP5F1C"	"nuOXPHOS"
"ENSG00000166136"	"ENSG00000166136"	"NADH:ubiquinone oxidoreductase subunit B8 [Source:HGNC Symbol;Acc:HGNC:7703]"	"10"	"NDUFB8"	"nuOXPHOS"
"ENSG00000166260"	"ENSG00000166260"	"cytochrome c oxidase copper chaperone COX11 [Source:HGNC Symbol;Acc:HGNC:2261]"	"17"	"COX11"	"nuOXPHOS"
"ENSG00000167283"	"ENSG00000167283"	"ATP synthase membrane subunit g [Source:HGNC Symbol;Acc:HGNC:14247]"	"11"	"ATP5MG"	"nuOXPHOS"
"ENSG00000167792"	"ENSG00000167792"	"NADH:ubiquinone oxidoreductase core subunit V1 [Source:HGNC Symbol;Acc:HGNC:7716]"	"11"	"NDUFV1"	"nuOXPHOS"
"ENSG00000167863"	"ENSG00000167863"	"ATP synthase peripheral stalk subunit d [Source:HGNC Symbol;Acc:HGNC:845]"	"17"	"ATP5PD"	"nuOXPHOS"
"ENSG00000167985"	"ENSG00000167985"	"succinate dehydrogenase complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:26034]"	"11"	"SDHAF2"	"nuOXPHOS"
"ENSG00000168275"	"ENSG00000168275"	"cytochrome c oxidase assembly factor 6 [Source:HGNC Symbol;Acc:HGNC:18025]"	"1"	"COA6"	"nuOXPHOS"
"ENSG00000168653"	"ENSG00000168653"	"NADH:ubiquinone oxidoreductase subunit S5 [Source:HGNC Symbol;Acc:HGNC:7712]"	"1"	"NDUFS5"	"nuOXPHOS"
"ENSG00000169020"	"ENSG00000169020"	"ATP synthase membrane subunit e [Source:HGNC Symbol;Acc:HGNC:846]"	"4"	"ATP5ME"	"nuOXPHOS"
"ENSG00000169021"	"ENSG00000169021"	"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:12587]"	"19"	"UQCRFS1"	"nuOXPHOS"
"ENSG00000170516"	"ENSG00000170516"	"cytochrome c oxidase subunit 7B2 [Source:HGNC Symbol;Acc:HGNC:24381]"	"4"	"COX7B2"	"nuOXPHOS"
"ENSG00000170906"	"ENSG00000170906"	"NADH:ubiquinone oxidoreductase subunit A3 [Source:HGNC Symbol;Acc:HGNC:7686]"	"19"	"NDUFA3"	"nuOXPHOS"
"ENSG00000171204"	"ENSG00000171204"	"transmembrane protein 126B [Source:HGNC Symbol;Acc:HGNC:30883]"	"11"	"TMEM126B"	"nuOXPHOS"
"ENSG00000171953"	"ENSG00000171953"	"ATP synthase mitochondrial F1 complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:18802]"	"17"	"ATPAF2"	"nuOXPHOS"
"ENSG00000173660"	"ENSG00000173660"	"ubiquinol-cytochrome c reductase hinge protein [Source:HGNC Symbol;Acc:HGNC:12590]"	"1"	"UQCRH"	"nuOXPHOS"
"ENSG00000173915"	"ENSG00000173915"	"ATP synthase membrane subunit DAPIT [Source:HGNC Symbol;Acc:HGNC:30889]"	"10"	"ATP5MD"	"nuOXPHOS"
"ENSG00000174886"	"ENSG00000174886"	"NADH:ubiquinone oxidoreductase subunit A11 [Source:HGNC Symbol;Acc:HGNC:20371]"	"19"	"NDUFA11"	"nuOXPHOS"
"ENSG00000176340"	"ENSG00000176340"	"cytochrome c oxidase subunit 8A [Source:HGNC Symbol;Acc:HGNC:2294]"	"11"	"COX8A"	"nuOXPHOS"
"ENSG00000177646"	"ENSG00000177646"	"acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]"	"3"	"ACAD9"	"nuOXPHOS"
"ENSG00000178057"	"ENSG00000178057"	"NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:29918]"	"3"	"NDUFAF3"	"nuOXPHOS"
"ENSG00000178127"	"ENSG00000178127"	"NADH:ubiquinone oxidoreductase core subunit V2 [Source:HGNC Symbol;Acc:HGNC:7717]"	"18"	"NDUFV2"	"nuOXPHOS"
"ENSG00000178449"	"ENSG00000178449"	"cytochrome c oxidase assembly factor COX14 [Source:HGNC Symbol;Acc:HGNC:28216]"	"12"	"COX14"	"nuOXPHOS"
"ENSG00000178741"	"ENSG00000178741"	"cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]"	"15"	"COX5A"	"nuOXPHOS"
"ENSG00000179091"	"ENSG00000179091"	"cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]"	"8"	"CYC1"	"nuOXPHOS"
"ENSG00000181924"	"ENSG00000181924"	"cytochrome c oxidase assembly factor 4 homolog [Source:HGNC Symbol;Acc:HGNC:24604]"	"11"	"COA4"	"nuOXPHOS"
"ENSG00000183513"	"ENSG00000183513"	"cytochrome c oxidase assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:33848]"	"2"	"COA5"	"nuOXPHOS"
"ENSG00000183648"	"ENSG00000183648"	"NADH:ubiquinone oxidoreductase subunit B1 [Source:HGNC Symbol;Acc:HGNC:7695]"	"14"	"NDUFB1"	"nuOXPHOS"
"ENSG00000183978"	"ENSG00000183978"	"cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]"	"17"	"COA3"	"nuOXPHOS"
"ENSG00000184076"	"ENSG00000184076"	"ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]"	"22"	"UQCR10"	"nuOXPHOS"
"ENSG00000184752"	"ENSG00000184752"	"NADH:ubiquinone oxidoreductase subunit A12 [Source:HGNC Symbol;Acc:HGNC:23987]"	"12"	"NDUFA12"	"nuOXPHOS"
"ENSG00000184983"	"ENSG00000184983"	"NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]"	"22"	"NDUFA6"	"nuOXPHOS"
"ENSG00000186010"	"ENSG00000186010"	"NADH:ubiquinone oxidoreductase subunit A13 [Source:HGNC Symbol;Acc:HGNC:17194]"	"19"	"NDUFA13"	"nuOXPHOS"
"ENSG00000187581"	"ENSG00000187581"	"cytochrome c oxidase subunit 8C [Source:HGNC Symbol;Acc:HGNC:24382]"	"14"	"COX8C"	"nuOXPHOS"
"ENSG00000189043"	"ENSG00000189043"	"NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]"	"7"	"NDUFA4"	"nuOXPHOS"
"ENSG00000196636"	"ENSG00000196636"	"succinate dehydrogenase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:21752]"	"7"	"SDHAF3"	"nuOXPHOS"
"ENSG00000203667"	"ENSG00000203667"	"cytochrome c oxidase assembly factor COX20 [Source:HGNC Symbol;Acc:HGNC:26970]"	"1"	"COX20"	"nuOXPHOS"
"ENSG00000204370"	"ENSG00000204370"	"succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]"	"11"	"SDHD"	"nuOXPHOS"
"ENSG00000204922"	"ENSG00000204922"	"ubiquinol-cytochrome c reductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:34399]"	"11"	"UQCC3"	"nuOXPHOS"
"ENSG00000205138"	"ENSG00000205138"	"succinate dehydrogenase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:33867]"	"19"	"SDHAF1"	"nuOXPHOS"
"ENSG00000213619"	"ENSG00000213619"	"NADH:ubiquinone oxidoreductase core subunit S3 [Source:HGNC Symbol;Acc:HGNC:7710]"	"11"	"NDUFS3"	"nuOXPHOS"
"ENSG00000240230"	"ENSG00000240230"	"cytochrome c oxidase assembly factor COX19 [Source:HGNC Symbol;Acc:HGNC:28074]"	"7"	"COX19"	"nuOXPHOS"
"ENSG00000241837"	"ENSG00000241837"	"ATP synthase peripheral stalk subunit OSCP [Source:HGNC Symbol;Acc:HGNC:850]"	"21"	"ATP5PO"	"nuOXPHOS"
"ENSG00000249222"	"ENSG00000249222"	"ATP synthase membrane subunit g like [Source:HGNC Symbol;Acc:HGNC:13213]"	"22"	"ATP5MGL"	"nuOXPHOS"
"ENSG00000267855"	"ENSG00000267855"	"NADH:ubiquinone oxidoreductase subunit A7 [Source:HGNC Symbol;Acc:HGNC:7691]"	"19"	"NDUFA7"	"nuOXPHOS"
"ENSG00000241468"	"ENSG00000241468"	"ATP synthase membrane subunit f [Source:HGNC Symbol;Acc:HGNC:848]"	"7"	"ATP5MF"	"nuOXPHOS"
